,year,month,week_of_year,day_of_year,user_id,battles_messages_sent,battles_private_started,battles_public_started,battles_private_participated,battles_public_participated,news_items_read,invitations_friend_received,invitations_friend_accepted,number_of_sessions,total_session_duration,trades_fb_commodities_open,trades_fb_commodities_close,trades_fb_commodities_profit,trades_fb_commodities_loss,trades_fb_commodities_average_leverage,trades_fb_forex_open,trades_fb_forex_close,trades_fb_forex_profit,trades_fb_forex_loss,trades_fb_forex_average_leverage,trades_fb_stocks_open,trades_fb_stocks_close,trades_fb_stocks_profit,trades_fb_stocks_loss,trades_fb_stocks_average_leverage,trades_fb_indices_open,trades_fb_indices_close,trades_fb_indices_profit,trades_fb_indices_loss,trades_fb_indices_average_leverage,trades_fb_short,trades_fb_long,trades_fb_commission,trackers_alert_lower_limit_set,trackers_alert_lower_limit_fired,trackers_alert_upper_limit_set,trackers_alert_upper_limit_fired,trackers_stop_loss_set,trackers_stop_loss_fired,trackers_take_profit_set,trackers_take_profit_fired,trades_sb_commodities_open,trades_sb_commodities_close,trades_sb_commodities_profit,trades_sb_commodities_loss,trades_sb_commodities_average_leverage,trades_sb_forex_open,trades_sb_forex_close,trades_sb_forex_profit,trades_sb_forex_loss,trades_sb_forex_average_leverage,trades_sb_stocks_open,trades_sb_stocks_close,trades_sb_stocks_profit,trades_sb_stocks_loss,trades_sb_stocks_average_leverage,trades_sb_indices_open,trades_sb_indices_close,trades_sb_indices_profit,trades_sb_indices_loss,trades_sb_indices_average_leverage,trades_sb_short,trades_sb_long,trades_sb_commission,date,trades_fb_commodities_notional_value,trades_fb_forex_notional_value,trades_fb_stocks_notional_value,trades_fb_indices_notional_value,trades_sb_commodities_notional_value,trades_sb_forex_notional_value,trades_sb_stocks_notional_value,trades_sb_indices_notional_value,financing_deposits_count,financing_deposits_amount,financing_withdrawals_count,financing_withdrawals_amount,financing_dividends_paid_count,financing_dividends_paid_amount,financing_dividends_received_count,financing_dividends_received_amount,financing_fees_count,financing_fees_amount,incentives_rewards_received,incentives_rewards_redeemed,view_position,view_position_costs,click_position_cost_details,store_purchases_RED_count,store_purchases_RED_amount,store_purchases_BLUE_count,store_purchases_BLUE_amount,store_purchases_GREEN_count,store_purchases_GREEN_amount,store_purchases_PURPLE_count,store_purchases_PURPLE_amount,groups_private_created,groups_private_chat_messages_sent,groups_private_user_left,groups_private_user_got_removed,groups_private_user_removed_another_user,groups_private_user_got_added,groups_private_user_added_another_user,education_topic_read_first_time,education_topic_read,groups_public_created,groups_public_chat_messages_sent,groups_public_user_left,groups_public_user_got_removed,groups_public_user_removed_another_user,groups_public_user_got_added,groups_public_user_added_another_user,groups_public_user_followed,groups_public_user_unfollowed,retention_day1,retention_day3,retention_day7,retention_day14,retention_day21,retention_day30,groups_private_chat_messages_received,groups_public_chat_messages_received,account_status,social_status,social_status_battles,social_status_groups_private,social_status_groups_public,conversion_started,conversion_started_ayondo,conversion_to_sb,conversion_to_sb_reactivated,conversion_to_fb,groups_private_chat_messages_removed,groups_public_chat_messages_removed,retention_day60,retention_day90,trades_sb_open_positions,trades_sb_invested_amount
10,2018,1,4,24,046e4052-5afb-40a4-b0fc-25a5f1f933db,0,0,0,0,0,0,0,0,15,3784,0,0,0.00,0.00,0.00000,3,1,27.00,0.00,2.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,1,3,16.32,0,0,0,0,0,0,6,1,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,2018-01-24,0.00,3600.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,42,2,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,4,FUN_BUX,Following,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2018,1,4,24,04e947f5-e2c9-49da-8939-a57d8efb36f7,0,0,0,0,0,0,0,0,4,112,0,0,0.00,0.00,0.00000,0,2,525.92,0.00,30.00000,0,0,0.00,0.00,0.00000,2,0,0.00,0.00,1.00000,0,4,17.49,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,2018-01-24,0.00,40500.00,0.00,1800.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,10,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,FUN_BUX,Non-Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,1,4,24,084f1ecc-2f68-498e-95f3-6354ca46a453,0,0,0,0,0,1,0,0,2,508,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,2018-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FUN_BUX,Non-Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,1,4,24,08d84b2e-aec5-4246-ba0a-c9ea8fe3c2f8,0,0,0,0,0,0,0,0,5,378,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,2018-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,FUN_BUX,Non-Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,1,4,24,093ec7aa-14e6-48ce-8f93-852abddba9a7,0,0,0,0,0,2,0,0,9,312,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,2018-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,56,3,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,SERIOUS_BUX,Non-Social,0,0,0,0,0,0,0,0,0,0,0,0,4,185
15,2018,1,4,24,09a7d767-dfde-4742-96a8-2a7b03ad1f64,0,0,0,0,0,0,0,0,2,0,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,2018-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FUN_BUX,Non-Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2018,1,4,24,0b1c3b06-f9da-483d-a77a-323533c75345,0,0,0,0,0,0,0,0,3,253,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,2018-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,FUN_BUX,Non-Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2018,1,4,24,0bc8bd7a-f5e6-462b-95d2-ae737cd05847,0,0,0,0,0,0,0,0,5,236,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,2,2,0.40,0.00,3.00000,0,0,0.00,0.00,0.00000,0,4,2.25,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,2018-01-24,0.00,0.00,1275.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,33,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FUN_BUX,Non-Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2018,1,4,24,0d8c48c5-fa23-408f-a7c9-8fae8ba3d67b,0,0,0,0,0,0,0,0,2,14,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,2018-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FUN_BUX,Non-Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2018,1,4,24,0da328f8-0bd4-4df2-b1f5-6786ca420eaa,0,0,0,0,0,0,0,0,4,221,1,0,0.00,0.00,2.00000,0,0,0.00,0.00,0.00000,0,2,2.74,0.00,1.50000,0,0,0.00,0.00,0.00000,1,2,1.38,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,0.00,0.00000,0,0,0.00,2018-01-24,700.00,0.00,450.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,11,1,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,FUN_BUX,Non-Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0
