TABLE_CAT,TABLE_SCHEM,TABLE_NAME,COLUMN_NAME,DATA_TYPE,TYPE_NAME,COLUMN_SIZE,BUFFER_LENGTH,DECIMAL_DIGITS,NUM_PREC_RADIX,NULLABLE,REMARKS,COLUMN_DEF,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION,IS_NULLABLE,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_TABLE,SOURCE_DATA_TYPE
buxdwh,reporting,cube_daily_user,trackers_alert_lower_limit_set,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),39,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trackers_alert_lower_limit_fired,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),40,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trackers_alert_upper_limit_set,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),41,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trackers_alert_upper_limit_fired,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),42,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trackers_stop_loss_set,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),43,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trackers_stop_loss_fired,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),44,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trackers_take_profit_set,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),45,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trackers_take_profit_fired,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),46,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_commodities_open,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),47,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_commodities_close,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),48,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_commodities_profit,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),49,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_commodities_loss,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),50,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_commodities_average_leverage,2,Numeric,10,12,5,10,1,(null),0,2,(null),(null),51,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_forex_open,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),52,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_forex_close,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),53,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_forex_profit,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),54,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_forex_loss,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),55,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_forex_average_leverage,2,Numeric,10,12,5,10,1,(null),0,2,(null),(null),56,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_stocks_open,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),57,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_stocks_close,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),58,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_stocks_profit,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),59,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_stocks_loss,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),60,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_stocks_average_leverage,2,Numeric,10,12,5,10,1,(null),0,2,(null),(null),61,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_indices_open,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),62,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_indices_close,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),63,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_indices_profit,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),64,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_indices_loss,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),65,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_indices_average_leverage,2,Numeric,10,12,5,10,1,(null),0,2,(null),(null),66,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_short,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),67,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_long,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),68,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_commission,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),69,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,date,91,Date,10,6,(null),(null),0,(null),,9,1,(null),70,NO,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_commodities_notional_value,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),71,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_forex_notional_value,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),72,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_stocks_notional_value,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),73,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_fb_indices_notional_value,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),74,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_commodities_notional_value,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),75,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_forex_notional_value,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),76,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_stocks_notional_value,2,Numeric,15,17,2,10,1,(null),0,2,(null),(null),77,YES,(null),(null),(null),(null)
