,user_id,com,div,ff,total
0,62975554-fc1c-46c9-8a7c-80b8ed710284,,,,
1,84a09b40-e773-4ca5-8e0b-4dcfe5a34b00,,,,
2,0c743fbc-d056-4957-9c90-d92f893defc0,,,,
3,cfab8dd2-d4c8-490c-9452-581acd5ebdf7,,,,
4,a9727139-75e6-41b0-8428-6b2a7d2ff893,,,,
5,b1ea9290-2e05-45f5-a9d0-1478225cac0b,,,,
6,3bb4e055-9d9d-4188-a4d2-398066566bfc,,,,
7,7d71afb9-a804-4fd0-a9bf-80d8ced1aab0,,,,
8,b78a93e2-5b0f-4d93-bc87-2f0c2b511522,,,,
9,2056ee02-c98b-4503-989b-e17c1e447eff,,,,
10,2fb8f8b8-6641-4e0d-8d1f-fb10f2def75e,,,,
11,1d5c458e-4ccc-49a4-98f4-fc6653b9b971,5.00,0.00,0.83,5.83
12,625f6684-c8f4-4aff-af11-aefedc177168,,,,
13,f0b80fb7-10c0-4812-beae-9cf424ccf6f5,,,,
14,96a4af41-1955-4951-b732-212ca088e5d5,,,,
15,a189d963-97ea-4dc2-93fc-1be9745a4279,,,,
16,5b8dd3e0-0ddf-4fd4-88c0-4c5df8d5711a,,,,
17,fdc24493-86f8-442b-885f-d8e26b3dd371,,,,
18,bd76193b-45da-4c22-a640-116fcff0fa83,,,,
19,b8ff9833-3555-4c9e-ad88-379ca24256b8,,,,
20,a16b98d1-6a26-485a-8b84-09176fbb53ad,,,,
21,f76e413e-5ed3-43f8-9e3a-f7de3b92bd8c,7.00,0.00,1.24,8.24
22,6036d7f9-45a7-43da-8308-1ec3aad5253f,,,,
23,20ed3b0d-c501-48ef-8b31-4dc793c36ea0,,,,
24,a45fe66a-cdda-4d87-a0ba-967fea3d98ce,,,,
25,a6f45717-7f26-4aa5-abb1-1cd9a74d1abd,,,,
26,f1d1e375-50ec-4afc-ad6e-3606dfd09b23,,,,
27,b448e69b-0f07-4838-bd3e-e7b1c32b36c1,,,,
28,94c295a8-e41a-4d4d-9d35-cf350c592fab,,,,
29,bcdded4e-a274-4c26-b2ef-214c7238251a,,,,
30,60fd12d1-0836-44be-8bf9-946428481f29,,,,
31,86c11e13-db14-4112-8bbd-805b7431b035,,,,
32,a6de9cb5-80f3-4777-9a04-358bdffc68c3,,,,
33,92ad0451-d605-4239-ac76-f355a4c712d6,,,,
34,d4dc955b-5dc2-4ae5-b45c-0f6b04912619,,,,
35,61c1b147-3075-48c5-88fa-26ad2d3205c4,,,,
36,684f9ded-accd-421a-a2a0-aaab21924dfa,,,,
37,73b2282a-f2dc-497c-8471-5a49291819e1,,,,
38,e2c0893f-9a25-4932-84c3-0de39dd6abf2,3712.43,2059.82,1984.98,7757.23
39,27a92e0a-0ad5-4915-9cd2-50771598cc36,,,,
40,3d87ab83-b7c7-4b3a-beba-bfe94a1cea8e,,,,
41,bd67b133-91be-409d-b462-8e327171788e,,,,
42,655d23f0-b312-4612-b857-49f2bfaf03cf,,,,
43,b7c8b9b4-fac6-4553-b589-f20907b69432,,,,
44,5c69fcf8-3f02-4a8b-91e8-ca86d3f4be48,,,,
45,a74a7df1-36f7-4c00-a7fa-a731a3ac67a3,,,,
46,6fbe402b-f520-4c0b-9deb-86d3b7135fd6,,,,
47,d10fc189-97f4-4d40-947b-f761b938e16e,,,,
48,568107d3-c078-49c6-ac80-23c48996711d,,,,
49,a13339c1-2bb3-4012-9e8e-836a196c13a8,,,,
50,98b06d3c-6adf-4572-a839-8e13b0e38281,,,,
51,ecb741de-10cf-4904-b813-5a1278f22ddc,,,,
52,c1f0b225-be56-46b7-ad20-a91fc016adb6,,,,
53,79725514-6a92-4997-94a0-424136c2a7c4,,,,
54,49fdadb5-1aa7-417e-a7d9-9bf5a4cba279,,,,
55,0a5db1db-777f-48c1-946b-8dbf206971b6,,,,
56,80b21388-8ba8-487e-a3b6-6d0148c3f17d,,,,
57,45aa84aa-b1e4-4435-b72e-c9c64f247d60,,,,
58,73c86e99-109e-4a3c-bac2-ad105ed93e8d,,,,
59,49f1c6b8-12f6-45c1-a763-3e3213534782,,,,
60,18a8c646-d46b-490b-be07-9216d63b7024,,,,
61,806eceb9-1944-47d3-ab9d-16c4c4214f00,,,,
62,5b8bd684-489b-4d61-bcf5-4ca57bf02e1d,,,,
63,c8116bb1-48e4-467b-bec4-a0856b9298ef,,,,
64,0d8f3090-dee1-4f0e-b940-d1ed5e78415a,,,,
65,a68dd0ec-ec34-4796-af9e-8c2cf6585b8f,,,,
66,304564bc-f5bf-42e1-8599-c9b29ed36600,,,,
67,f3e5f118-e6f6-4611-8021-8c493a077401,,,,
68,85464dfa-d711-41ca-9bcc-0c6f03ebf2c5,,,,
69,430b5ad6-ba2a-44f4-ade2-82ca0822843b,,,,
70,0b082880-841a-4dc6-9418-8f577a70b04b,,,,
71,3c66c74f-77a4-4ccb-bed5-3bd36992b57d,,,,
72,37b3ef4d-6b65-4336-a38e-a3f841001ad2,,,,
73,2b5fec12-d3f4-4414-9430-f54bbd166be5,,,,
74,11b750d5-7822-4c1d-979d-75effb2ed815,,,,
75,6deb80f2-acce-45e7-ba48-8f624cb6c252,,,,
76,79b41675-a4f6-425e-9660-705f15868cc6,,,,
77,f02c1770-8ddc-4c5d-94d2-6f9bdb04b3de,,,,
78,b8f5a570-f34d-4379-a333-6dcb39038fc3,,,,
