,user_id,country_cd,gender,nationality,platform_type_name,trading_experience,title,network,bux_account_created_dts,account_type,ams_first_funded_dts,initial_deposit_amount,sum_deposits,cnt_deposits
6987,c551a1a8-d006-4e41-888d-07e3ea707b8c,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-02 13:02:18.128,FUN_BUX,,,,
6988,c5e64433-97f4-4647-bf61-0dfd00927b5a,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-07 22:51:49.887,FUN_BUX,,,,
6989,c5fc7f8f-6c7a-46e6-893a-f72082e3be73,DE,MALE,DE,iOS,NONE,Rookie Trader,Organic,2017-02-07 12:35:07.824,FUN_BUX,,,,
6990,c60dcf3c-d6c4-4ba5-9b81-fcd5c0698cb2,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-07 14:47:03.830,FUN_BUX,,,,
6991,c67fe8f4-74b4-4822-99cf-2e2d394ee6fc,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-09 14:24:52.017,FUN_BUX,,,,
6992,c6ad0cba-306a-4ccc-a7b7-628e9739a6b7,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-08 16:46:50.197,FUN_BUX,,,,
6993,c6ecdf03-555b-4c2a-863f-b7d89fa73d46,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-09 21:49:04.817,FUN_BUX,,,,
6994,c6fa4dfe-ca42-45a9-a555-194bed17613c,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-09 09:09:40.651,FUN_BUX,,,,
6995,c70458a6-b94f-4ecc-9c7a-6456f0cdd99e,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-05 11:17:21.381,FUN_BUX,,,,
6996,c70ca01c-04cd-4588-ab8d-a5f1f4cf1841,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-07 13:02:27.769,FUN_BUX,,,,
6997,c7203d8f-fbdf-406a-b6fa-d76358e6d648,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-07 13:56:45.037,FUN_BUX,,,,
6998,c7ad201f-6527-460c-a85f-ab8254f48881,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-10 08:44:56.653,FUN_BUX,,,,
6999,c7ad358f-f581-4ee4-8dd0-116aa1f7b11b,DE,MALE,DE,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-04 07:54:49.722,SERIOUS_BUX,2017-02-16 15:53:07.000,50.0000000,50.0000000,1.0
7000,c83e09fe-64f7-44a8-9099-7816a2ca5b83,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-09 17:43:27.160,FUN_BUX,,,,
7001,c8575d79-fe6f-4796-8bc0-e64b0d5073ec,DE,MALE,DE,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-09 06:08:00.849,SERIOUS_BUX,2017-02-09 08:25:51.000,50.0000000,50.0000000,1.0
7002,c89d8fdc-a338-47e6-8060-8699b6368f7a,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-07 23:09:57.811,FUN_BUX,,,,
7003,c91024ea-d6b8-4eb9-a65e-e21ce6a1ba2e,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-08 21:38:50.044,FUN_BUX,,,,
